run_date,us_date,n_cand,n_univ,gap_top5,gap_med_cand,gap_med_univ,gap_ratio,gap_p90_univ,overlap_prev,turnover,target
(backfill),2026-02-17,85,899,45.33,7.71,6.15,7.36,16.09,0,5,SNDK APP EXPE STX INTU
(backfill),2026-02-23,91,900,42.84,8.41,5.84,7.34,17.64,5,0,SNDK APP EXPE STX INTU
(backfill),2026-03-02,136,1200,33.56,6.8,5.75,5.83,16.34,4,1,SNDK APP EXPE STX MU
(backfill),2026-03-09,75,1149,38.38,4.94,5.32,7.21,15.1,3,2,SNDK STX MU MOD WDC
(backfill),2026-03-16,75,1123,46.6,6.34,5.35,8.71,14.72,4,1,SNDK STX MOD WDC MKSI
(backfill),2026-03-23,66,1094,62.83,5.94,5.09,12.33,13.63,4,1,SNDK STX WDC MKSI MU
(backfill),2026-03-30,36,1087,31.06,11.32,6.12,5.07,15.18,3,2,SNDK STX MKSI AVGO MCHP
(backfill),2026-04-06,70,1136,104.24,1.83,3.75,27.83,10.98,2,3,SNDK AVGO CELH MU ADSK
(backfill),2026-04-13,50,1180,38.1,3.61,3.73,10.22,14.27,2,3,SNDK MU OKTA PATH APP
(backfill),2026-04-20,55,1213,34.08,4.55,3.64,9.37,14.65,3,2,SNDK MU PATH TSM SCHW
(backfill),2026-04-27,55,1102,47.63,6.54,4.32,11.02,16.19,3,2,SNDK MU SCHW KEY IBKR
(backfill),2026-05-04,66,1147,16.75,4.23,4.67,3.59,19.0,2,3,SNDK MU FICO ICE META
(backfill),2026-05-11,56,1181,20.13,6.66,7.25,2.78,25.44,2,3,FICO META APH EXPE LLY
(backfill),2026-05-18,59,1141,22.18,8.41,7.13,3.11,22.45,0,5,VST TPR REGN CLS SNDK
(backfill),2026-05-26,63,1170,37.2,8.25,6.44,5.78,25.14,3,2,VST TPR REGN DXCM CELH
(backfill),2026-06-01,67,1174,18.58,11.51,7.42,2.5,25.21,2,3,TPR REGN KEYS INTU SYK
(backfill),2026-06-08,71,1148,23.48,9.29,7.22,3.25,24.88,1,4,KEYS CELH AEIS MDLN THC
(backfill),2026-06-15,76,1192,19.0,7.77,7.62,2.49,26.91,0,5,ADBE ADSK CRM LHX CEG
(backfill),2026-06-22,61,1176,20.89,7.89,7.24,2.88,27.29,1,4,CRM INTU WDAY ALNY TMUS
(backfill),2026-06-29,67,1182,11.53,7.03,7.92,1.46,24.96,1,4,TMUS REGN FTI BURL ORLY
(backfill),2026-07-06,72,1202,16.2,8.28,6.81,2.38,19.26,1,4,FTI AEIS CLS MLM SNDK
(backfill),2026-07-13,95,1368,18.54,7.38,5.9,3.14,18.14,3,2,AEIS CLS SNDK QXO MOD
(backfill),2026-07-20,106,1318,25.58,5.99,5.89,4.34,17.97,2,3,CLS QXO JBL AVGO INTU
(backfill),2026-07-27,102,1365,29.01,7.4,5.78,5.02,18.31,3,2,CLS QXO JBL KNX GOOGL
(backfill),2026-08-03,99,1320,35.26,7.09,5.86,6.02,20.67,4,1,CLS JBL KNX GOOGL STX
