ticker,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,above_ma,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_undervalued,is_growth,undervalued_reason,growth_reason,rev_growth_yoy,op_growth_yoy,from_52w_high
MU,NASDAQ_100,31.82,0.2667,114.09,0.05,414.88,366.8,True,15153.4,Semiconductor,42.7904,42.37608,38.47903,19.98722,18.79317,True,False,True,,"매출+57%,영업+182%",56.7,182.2,-8.9
FCX,SP500,13.78,0.1237,23.89,0.38,60.23,58.87,True,1451.1,Basic Materials,3.3284,3.10954,2.9304,2.6866,2.79387,True,True,False,52주高-13%,,,,-13.3
LRCX,NASDAQ_100,12.64,0.1447,18.21,0.96,233.46,218.26,True,3208.9,Semiconductor,6.57949,5.89448,5.63674,5.56607,5.53432,True,False,True,,"매출+22%,영업+36%",22.1,35.7,-7.3
ASML,NASDAQ_100,12.13,0.115,15.66,4.54,1423.0,1323.77,True,3255.6,Semiconductor,36.37009,33.73733,31.65981,31.44611,31.24681,True,False,True,,"매출+29%,영업+39%",4.9,2.3,-4.7
NEM,SP500,11.71,0.0697,13.53,0.12,112.35,115.8,False,1132.9,Basic Materials,8.40155,8.11214,7.76085,7.40051,7.3158,True,True,True,52주高-17%,"매출+20%,영업+102%",20.0,101.5,-16.7
AVGO,NASDAQ_100,11.66,0.0389,13.28,0.12,331.3,337.85,False,8363.1,Semiconductor,14.35632,14.22036,14.00101,12.67358,12.16856,True,True,True,52주高-20%,"매출+28%,영업+55%",28.2,54.8,-19.9
TTWO,NASDAQ_100,11.58,0.0305,12.92,0.89,220.3,245.45,False,365.9,Communication Services,3.76521,3.75483,3.72513,3.33438,5.05841,True,True,True,52주高-17%,"매출+31%,영업+65%",31.1,65.1,-16.8
KLAC,NASDAQ_100,10.65,0.054,8.27,0.77,1427.94,1472.08,False,1760.0,Semiconductor,45.35183,44.0851,42.11531,41.88708,41.56644,True,True,False,52주高-16%,,,,-15.7
HSY,SP500,9.83,0.0176,4.17,,194.75,190.88,True,349.4,Consumer Defensive,7.06929,7.03303,6.9156,6.78609,6.76677,True,False,True,,"매출+22%,영업+126%",6.5,-31.8,-3.5
EAT,SP400_MidCap,9.73,0.0283,3.65,1.34,157.72,159.63,False,193.9,Consumer Cyclical,12.30211,12.03091,11.91537,11.86841,11.82215,True,True,False,52주高-18%,,6.9,0.5,-17.9
BOOT,SP400_MidCap,9.71,0.0201,3.54,0.49,178.48,188.4,False,127.8,Consumer Cyclical,8.31654,8.2743,8.03615,8.03189,7.55931,True,True,True,52주高-15%,"매출+19%,영업+41%",18.7,41.1,-15.1
LLY,SP500,9.65,0.0182,3.25,0.06,1037.15,1060.22,False,2999.4,Healthcare,33.21545,32.79636,32.63357,32.17124,31.04106,True,False,True,,"매출+54%,영업+89%",53.9,89.1,-8.5
