ticker,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action
MU,NASDAQ_100,32.6,0.3,117.8,,414.88,366.8,285.92,176.19,72.1,15153.4,Semiconductor,43.54298,42.35653,38.47903,19.98722,18.79317,True,True,False,False,"Quality Growth (Rev+57%, Op+182%)",56.7,182.2,-8.9,진입금지 (RSI과열)
CMC,SP400_MidCap,16.6,0.2,38.2,,76.87,74.8,67.9,57.15,64.5,106.4,Basic Materials,7.17029,6.92779,5.7325,5.18942,5.03902,True,True,False,False,"Quality Growth (Rev+11%, Op+63%)",11.0,62.7,-3.4,진입금지 (고점근처)
LRCX,NASDAQ_100,13.3,0.2,21.4,,233.46,218.26,179.78,126.44,58.4,3208.9,Semiconductor,6.7554,5.9139,5.63674,5.56607,5.53432,True,True,False,False,"Quality Growth (Rev+22%, Op+36%)",22.1,35.7,-7.3,매수적기 (추세)
FIVE,SP400_MidCap,13.1,0.1,20.4,,191.64,194.67,176.59,143.76,45.4,222.9,Consumer Cyclical,6.8341,6.79745,6.26426,5.67858,5.65358,True,True,False,False,"Quality Growth (Rev+23%, Op+7246%)",23.1,7246.0,-6.6,관망 (조정부족)
LITE,SP400_MidCap,12.0,0.1,15.2,,391.84,360.39,325.16,177.35,58.9,1723.1,Technology,9.19967,9.12379,8.18319,7.9888,6.6814,True,True,False,False,"Quality Growth (Rev+58%, Op+121%)",58.4,120.6,-12.5,진입금지 (단기급등)
NEM,SP500,11.7,0.1,13.5,,112.35,115.8,100.26,76.63,53.8,1132.9,Basic Materials,8.40155,8.11214,7.76085,7.40051,7.3158,True,True,False,False,"Quality Growth (Rev+20%, Op+102%)",20.0,101.5,-16.7,적극매수 (눌림목)
AVGO,NASDAQ_100,11.7,0.0,13.3,,331.3,337.85,353.47,304.5,41.9,8363.1,Semiconductor,14.35632,14.22036,14.00101,12.67358,12.16856,True,True,False,False,"Quality Growth (Rev+28%, Op+55%)",28.2,54.8,-19.9,적극매수 (눌림목)
RGLD,SP400_MidCap,11.4,0.1,12.1,,263.31,264.24,222.96,191.11,59.1,266.5,Basic Materials,12.13556,11.54192,11.38382,10.82649,10.48727,True,True,False,False,"Quality Growth (Rev+30%, Op+47%)",30.0,47.4,-14.0,관망
F,SP500,10.5,0.0,7.6,,13.88,13.78,13.39,11.71,43.9,876.4,Consumer Cyclical,1.54636,1.52394,1.4799,1.43757,1.40519,True,True,False,False,"Quality Growth (Rev+9%, Op+77%)",9.4,77.0,-4.3,진입금지 (고점근처)
TTMI,SP400_MidCap,10.2,0.0,6.0,,98.2,88.08,75.35,52.19,77.5,343.0,Technology,3.025,2.9375,2.86,2.855,2.61,True,True,False,False,"Quality Growth (Rev+22%, Op+38%)",22.1,38.3,-7.9,진입금지 (RSI과열)
HL,SP400_MidCap,10.1,0.2,25.3,,22.52,25.23,19.51,11.42,50.2,674.8,Basic Materials,0.96656,0.88076,0.75882,0.77149,0.76037,False,True,False,False,"Quality Growth (Rev+67%, Op+306%)",67.1,306.3,-34.1,관망
JBL,SP500,10.0,0.0,5.1,,237.19,238.6,223.69,205.5,59.2,266.3,Technology,13.48524,13.47274,12.91668,12.82842,12.82842,True,True,False,False,"Quality Growth (Rev+19%, Op+33%)",18.7,32.9,-8.1,관망 (조정부족)
CASY,SP400_MidCap,10.0,0.0,4.8,,606.5,605.1,569.25,523.94,57.5,196.7,Consumer Cyclical,19.17861,19.0879,18.89452,18.30511,18.27082,True,True,False,False,"Quality Growth (Rev+14%, Op+18%)",14.2,18.4,-6.3,매수적기 (추세)
CBOE,SP500,9.8,0.0,3.9,,265.06,265.14,257.89,241.14,56.2,217.0,Financial Services,11.2044,11.1117,10.92033,10.78078,10.37797,True,True,False,False,"Quality Growth (Rev+8%, Op+22%)",8.1,22.0,-5.1,관망 (조정부족)
GMED,SP400_MidCap,9.7,0.0,3.3,,90.68,92.22,87.58,68.37,38.5,138.2,Healthcare,4.24454,4.19575,4.11708,4.10933,3.64417,True,True,False,False,"Quality Growth (Rev+23%, Op+172%)",22.9,171.8,-10.6,적극매수 (눌림목)
LLY,SP500,9.6,0.0,3.2,,1037.15,1060.22,1041.14,851.48,43.3,2999.4,Healthcare,33.21545,32.79636,32.63357,32.17124,31.04106,True,True,False,False,"Quality Growth (Rev+54%, Op+89%)",53.9,89.1,-8.5,관망 (조정부족)
NVDA,NASDAQ_100,9.5,0.0,2.4,,191.13,186.72,185.17,167.74,59.0,31052.0,Semiconductor,7.66386,7.65064,7.55363,7.48148,6.50043,True,True,False,False,"Quality Growth (Rev+62%, Op+65%)",62.5,64.7,-9.9,매수적기 (추세)
AMD,NASDAQ_100,9.5,0.0,2.6,,236.73,231.44,225.27,175.8,70.4,8760.7,Semiconductor,6.6078,6.56975,6.45876,6.44132,6.32119,True,True,False,False,"Quality Growth (Rev+36%, Op+75%)",35.6,75.4,-11.4,진입금지 (RSI과열)
CAH,SP500,9.4,0.0,2.0,,214.88,208.81,205.22,169.17,70.0,366.7,Healthcare,11.29142,11.20077,11.08476,11.07028,10.8697,True,True,False,False,"Quality Growth (Rev+22%, Op+37%)",22.4,36.8,-0.8,진입금지 (RSI과열)
CCL,SP500,9.4,0.0,1.8,,30.02,30.12,28.29,27.34,37.4,566.9,Consumer Cyclical,2.82804,2.82195,2.81079,2.77748,2.76497,True,True,False,False,"Quality Growth (Rev+7%, Op+31%)",6.6,31.2,-8.7,관망 (조정부족)
CVNA,SP500,9.4,0.0,1.9,,401.11,448.1,405.83,353.38,34.0,1557.6,Consumer Cyclical,7.06553,7.06053,7.00026,6.93475,6.78429,True,True,False,False,"Quality Growth (Rev+55%, Op+64%)",54.5,63.8,-17.6,관망
THO,SP400_MidCap,9.4,0.0,2.1,,111.87,111.98,105.67,96.77,53.3,56.1,Consumer Cyclical,5.79207,5.78541,5.67874,5.67286,5.60923,True,True,False,False,"Quality Growth (Rev+11%, Op+242%)",11.5,241.6,-6.2,관망 (조정부족)
TPR,SP500,9.4,0.0,2.0,,126.91,130.48,119.6,102.8,32.6,268.1,Consumer Cyclical,6.32716,6.28602,6.21592,6.20222,6.09762,True,True,False,False,"Quality Growth (Rev+13%, Op+30%)",13.1,30.2,-6.7,관망 (조정부족)
FDX,SP500,9.4,0.0,1.9,,322.25,308.97,285.88,243.77,59.6,599.5,Industrials,21.24714,21.22851,21.1745,20.85294,20.77868,True,True,False,False,"Quality Growth (Rev+7%, Op+18%)",6.8,17.6,-0.2,진입금지 (고점근처)
HII,SP500,9.4,0.0,1.8,,420.51,403.19,348.07,282.47,68.6,257.1,Industrials,17.65123,17.61057,17.48571,17.34736,17.02696,True,True,False,False,"Quality Growth (Rev+16%, Op+113%)",16.1,112.9,-3.6,진입금지 (고점근처)
LMT,SP500,9.4,0.0,1.8,,634.22,565.45,498.99,472.44,85.5,1384.0,Industrials,31.74886,31.27151,31.24614,31.20227,31.09172,True,True,False,False,"Quality Growth (Rev+9%, Op+235%)",9.1,234.9,-1.8,진입금지 (RSI과열)
