ticker,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,quality_grade,value_score,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom
NEM,SP500,11.7,0.1,13.5,,112.85,116.38,100.83,76.92,49.9,1199.5,Basic Materials,8.40155,8.11214,7.76085,7.40051,7.3158,True,True,False,False,"Quality Growth (Rev+20%, Op+102%)",20.0,101.5,-16.3,적극매수 (눌림목),13.4,22.9,0.99,12.24,16.3,134.88,1.0,12.24,80,A+급,90,떨이세일,85.0,False,,False
AVGO,NASDAQ_100,11.7,0.0,13.3,,331.11,337.03,353.13,305.27,36.3,8378.7,Semiconductor,14.35632,14.22036,14.00101,12.67358,12.16856,True,True,False,False,"Quality Growth (Rev+28%, Op+55%)",28.2,54.8,-20.0,적극매수 (눌림목),23.1,31.1,1.74,12.69,20.0,413.82,1.0,12.69,85,A+급,75,저평가,80.0,False,,False
G,SP400_MidCap,9.1,0.0,0.4,,44.13,46.06,45.71,44.02,30.7,61.2,Technology,3.95155,3.95145,3.94895,3.93794,3.88204,True,True,False,False,"Quality Growth (Rev+7%, Op+10%)",6.6,9.8,-21.4,저점매수 (과매도),11.2,22.3,31.91,12.74,21.4,56.12,1.0,12.74,70,A급,60,적정가,65.0,False,,False
LRCX,NASDAQ_100,13.3,0.2,21.6,,237.5,220.88,181.15,127.29,59.3,3383.7,Semiconductor,6.76688,5.9139,5.63674,5.56607,5.53432,True,True,False,False,"Quality Growth (Rev+22%, Op+36%)",22.1,35.7,-5.7,매수적기 (추세),35.1,65.6,1.63,8.94,5.7,251.87,0.9,8.05,90,S급,45,고평가,60.75,False,,False
CRS,SP400_MidCap,10.3,0.1,6.4,,311.33,330.66,323.86,270.79,44.5,289.1,Industrials,12.04924,11.33468,11.33187,11.32988,11.17988,True,True,False,False,"Quality Growth (Rev+8%, Op+31%)",7.5,30.5,-12.3,적극매수 (눌림목),25.8,23.5,4.07,9.6,12.3,355.0,1.0,9.6,75,A급,42,고평가,58.5,False,,False
CVNA,SP500,9.2,0.0,1.1,,407.89,448.48,407.46,354.35,35.8,1580.3,Consumer Cyclical,7.06553,7.06108,7.00026,6.9886,6.78429,True,True,False,False,"Quality Growth (Rev+55%, Op+64%)",54.5,63.8,-16.2,적극매수 (눌림목),57.7,68.2,52.48,9.83,16.2,486.89,1.0,9.83,75,A급,40,고평가,57.5,False,,False
GMED,SP400_MidCap,9.7,0.0,3.3,,89.7,92.34,88.05,68.45,43.1,138.7,Healthcare,4.24454,4.19575,4.11708,4.10933,3.64417,True,True,False,False,"Quality Growth (Rev+23%, Op+172%)",22.9,171.8,-11.5,적극매수 (눌림목),21.1,10.0,6.42,9.24,11.5,101.4,1.0,9.24,65,B+급,50,고평가,57.5,False,,False
EXEL,SP400_MidCap,5.9,0.0,4.3,,42.81,43.85,43.29,41.14,43.2,110.7,Healthcare,3.42896,3.38229,3.28211,3.2875,3.06944,False,True,False,False,"Quality Growth (Rev+11%, Op+36%)",10.8,36.5,-13.7,적극매수 (눌림목),12.5,30.6,2.9,8.65,13.7,49.62,1.0,8.65,45,C급,65,적정가,55.0,False,,False
MU,NASDAQ_100,32.6,0.3,117.8,,437.8,372.92,289.58,178.02,75.5,16276.6,Semiconductor,43.54298,42.35653,38.47903,19.98722,18.79317,True,True,False,False,"Quality Growth (Rev+57%, Op+182%)",56.7,182.2,-3.9,관망 (RSI🚀고점),10.0,22.6,0.09,19.44,3.9,455.5,0.75,14.58,85,A+급,60,적정가,54.375,False,,False
CMC,SP400_MidCap,16.6,0.2,38.2,,80.38,75.24,68.3,57.35,70.1,114.4,Basic Materials,7.17029,6.92779,5.7325,5.18942,5.03902,True,True,False,False,"Quality Growth (Rev+11%, Op+63%)",11.0,62.7,-0.3,관망 (RSI🚀고점),11.2,10.5,0.29,10.2,0.3,80.64,0.75,7.65,80,A+급,60,적정가,52.5,False,,False
