ticker,company_name,index,score_321,score_slope,eps_chg_60d,eps_chg_7d,eps_chg_30d,eps_chg_90d,price_change_pct,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,value_score,total_score,quality_grade,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom,atr,stop_loss,ma_50,industry,is_filled
WDC,Western Digital Corporation,NASDAQ_100,16.3,0.3,36.3,18.1,32.3,40.8,-7.18,,269.41,237.45,191.88,113.75,66.0,3001.6,Technology,12.79166,10.8312,9.66603,9.38648,9.08696,True,True,False,False,"Quality Growth (Rev+25%, Op+75%)",25.2,75.1,-9.1,진입금지 (단기급등),21.1,41.1,0.58,11.82,9.1,296.5,0.3,3.55,83.4,50,83.4,S급,과열,25.02,False,,False,22.79,223.83,198.33,Computer Hardware,0
LITE,Lumentum Holdings Inc.,SP400_MidCap,17.7,0.6,63.5,46.7,63.6,68.6,7.0,,465.54,369.57,336.21,183.19,78.0,2410.9,Technology,13.38391,9.12379,8.18319,8.18378,7.93997,False,True,False,False,"Quality Growth (Rev+58%, Op+121%)",58.4,120.6,-7.7,진입금지 (단기급등),34.8,29.3,0.55,11.75,7.7,504.58,0.3,3.52,75.0,55,75.0,S급,중립,22.49,True,,False,39.31,386.92,354.32,Communication Equipment,0
MU,"Micron Technology, Inc.",NASDAQ_100,32.6,0.3,117.8,2.8,13.2,131.7,-9.55,,379.4,380.08,294.97,181.33,60.2,14583.3,Semiconductor,43.54298,42.35653,38.47903,19.98722,18.79317,True,True,False,False,"Quality Growth (Rev+57%, Op+182%)",56.7,182.2,-16.7,관망,8.7,22.6,0.07,23.59,16.7,455.5,0.7,16.51,70.3,65,70.3,S급,중립,49.23,True,,False,28.94,321.53,306.8,Semiconductors,0
LRCX,Lam Research Corporation,NASDAQ_100,13.3,0.2,21.6,14.2,20.6,22.9,-8.83,,209.78,222.79,183.03,128.85,50.5,3033.8,Semiconductor,6.8004,5.95654,5.63674,5.59056,5.53432,True,True,False,False,"Quality Growth (Rev+22%, Op+36%)",22.1,35.7,-16.7,적극매수 (눌림목),30.8,65.6,1.43,12.33,16.7,251.87,1.0,12.33,69.2,60,69.2,A급,중립,69.22,False,,False,14.26,181.26,189.15,Semiconductor Equipment & Materials,0
STX,Seagate Technology Holdings PLC,NASDAQ_100,15.2,0.2,30.9,4.6,26.9,32.6,-5.81,,418.63,359.08,304.41,204.66,72.4,2195.6,Technology,19.22921,18.38831,15.15455,14.68693,14.50536,True,True,False,False,"Quality Growth (Rev+22%, Op+73%)",21.5,73.0,-8.9,진입금지 (단기급등),21.8,,0.7,11.18,8.9,459.41,0.3,3.35,65.1,45,65.1,A급,과열,19.53,False,,False,31.24,356.16,311.83,Computer Hardware,0
CMC,Commercial Metals Company,SP400_MidCap,16.6,0.2,38.2,3.5,25.1,42.3,1.01,,82.7,76.12,69.14,57.76,71.7,117.1,Basic Materials,7.17029,6.92779,5.7325,5.18942,5.03902,True,True,False,False,"Quality Growth (Rev+11%, Op+63%)",11.0,62.7,-1.7,진입금지 (단기급등),11.5,10.5,0.3,10.56,1.7,84.12,0.3,3.17,64.9,40,64.9,A급,과열,19.48,False,,False,2.64,77.43,71.21,Steel,0
NEM,Newmont Corporation,SP500,13.0,0.1,19.8,5.6,15.0,19.8,-0.25,,116.85,117.44,102.0,77.54,53.2,1247.3,Basic Materials,8.87144,8.40155,7.71615,7.40674,7.40345,True,True,False,False,"Quality Growth (Rev+20%, Op+102%)",20.0,101.5,-13.4,적극매수 (눌림목),13.2,22.9,0.67,12.01,13.4,134.88,1.0,12.01,53.5,60,53.5,B급,중립,53.46,False,,False,6.05,104.76,104.94,Gold,0
RGLD,"Royal Gold, Inc.",SP400_MidCap,12.1,0.1,15.4,3.0,12.0,19.5,0.27,,265.89,269.03,227.62,192.3,55.8,283.2,Basic Materials,12.49863,12.13556,11.162,10.82649,10.45727,True,True,False,False,"Quality Growth (Rev+30%, Op+47%)",30.0,47.4,-13.2,관망,21.3,11.0,1.38,10.94,13.2,306.25,0.7,7.66,43.7,60,43.7,C급,중립,30.58,False,,False,13.62,238.65,236.05,Gold,0
FIVE,"Five Below, Inc.",SP400_MidCap,11.3,0.1,11.5,1.6,10.5,22.4,-1.93,,192.93,194.42,178.67,145.74,44.3,227.1,Consumer Cyclical,6.92452,6.81535,6.26426,6.21102,5.65706,True,True,False,False,"Quality Growth (Rev+23%, Op+7246%)",23.1,7246.0,-6.0,관망 (조정부족),27.9,17.3,2.42,8.16,6.0,205.22,0.7,5.71,38.6,65,38.6,C급,중립,27.0,False,,False,6.65,179.63,184.51,Specialty Retail,0
AVGO,Broadcom Inc.,NASDAQ_100,11.6,0.0,13.0,1.0,2.3,18.0,-3.83,,308.05,334.09,351.72,306.69,30.8,8214.8,Semiconductor,14.36275,14.22036,14.03726,12.70597,12.16856,True,True,False,False,"Quality Growth (Rev+28%, Op+55%)",28.2,54.8,-25.6,적극매수 (MA200지지),21.4,31.1,1.64,14.41,25.6,413.82,1.0,14.41,30.9,95,30.9,C급,급락매수,30.89,True,,False,14.41,279.24,352.56,Semiconductors,0
