
config                                    R avg     M avg     M min  worst MDD     vs baseline
----------------------------------------------------------------------------------------------------
baseline (3,10,3) 균등 b=0               +93.44% +105.19%         —    -18.29%                 ★ [1s]
baseline + C1 boost=1                  +79.51%  +88.52%  -30.95%p    -18.29%  -13.93%p (0/500) [5s]
baseline + C1 boost=2                  +80.72%  +89.13%  -27.02%p    -18.29% -12.72%p (26/500) [5s]
baseline + C1 boost=3                  +86.73%  +97.23%  -26.83%p    -18.29%  -6.72%p (13/500) [5s]
baseline + C1 boost=5                  +91.87% +103.20%  -24.07%p    -18.29% -1.58%p (254/500) [5s]
A2 (3,10,3) 50/30/20                  +106.94% +120.33%   +8.04%p    -18.27% +13.49%p (500/500) [1s]
A2 + C1 boost=3                       +101.83% +113.56%   -3.54%p    -18.27% +8.39%p (488/500) [5s]
(2,10,2) 70/30 b=0                    +121.73% +137.03%  +12.52%p    -19.98% +28.28%p (500/500) [1s]
(2,10,2) 70/30 + C1 boost=1           +121.40% +137.03%  +12.52%p    -19.98% +27.95%p (500/500) [5s]
(2,10,2) 70/30 + C1 boost=2           +112.85% +128.87%   +5.55%p    -19.98% +19.41%p (499/500) [5s]
(2,10,2) 70/30 + C1 boost=3           +126.77% +141.63%  +12.52%p    -19.98% +33.32%p (500/500) [5s]
(2,10,2) 70/30 + C1 boost=5           +132.45% +148.15%  +15.26%p    -19.98% +39.01%p (500/500) [5s]
(2,10,2) 80/20 + C1 boost=3           +133.70% +149.10%  +18.07%p    -19.82% +40.26%p (500/500) [5s]

총 소요: 55.0s
