
config                                R lift     R wins   M12 lift    M12 min   M24 lift    M24 wins     M24 min      MDD
------------------------------------------------------------------------------------------------------------------------
★ A: 70/30 b=0                      +21.66%p   500/500   +25.46%p    +6.34%p   +23.27%p    24/24     +0.01%p  -19.98%
★ B: 80/20 + C1 b=5                 +40.30%p   497/500   +47.19%p    +1.25%p   +41.73%p    23/24    -37.50%p  -19.82%
  75/25 b=0                         +23.03%p   499/500   +27.36%p    +4.49%p   +24.90%p    23/24     -0.38%p  -19.58%
  75/25 + C1 b=3                    +24.60%p   485/500   +29.33%p    -3.24%p   +24.66%p    21/24    -59.55%p  -19.58%
  75/25 + C1 b=5                    +38.48%p   498/500   +44.88%p    -1.02%p   +39.84%p    21/24    -34.84%p  -19.58%
  70/30 + C1 b=3                    +23.57%p   484/500   +27.76%p    -5.94%p   +23.45%p    21/24    -55.03%p  -19.98%
  80/20 + C1 b=3                    +25.60%p   485/500   +30.87%p    -0.56%p   +25.84%p    21/24    -63.97%p  -19.82%
  80/20 + C1 b=4                    +34.65%p   490/500   +40.39%p    -0.56%p   +35.42%p    21/24    -43.25%p  -19.82%
  (3,10,3) 50/30/20 b=0              +2.94%p   444/500    +2.38%p    -7.02%p    +2.79%p    17/24     -7.02%p  -18.27%
  (3,10,3) 50/30/20 + C1 b=3         -4.64%p   122/500    -7.97%p   -23.79%p    -9.07%p     6/24    -53.34%p  -18.27%
  (3,10,3) 50/30/20 + C1 b=5         +1.76%p   323/500    +0.25%p   -22.08%p    -1.20%p    14/24    -51.26%p  -18.27%
  (3,10,3) 60/25/15 + C1 b=5         +3.11%p   335/500    +1.36%p   -22.55%p    -0.33%p    14/24    -62.73%p  -18.42%
  (3,10,3) 70/20/10 + C1 b=5         +4.45%p   325/500    +2.46%p   -31.22%p    +0.56%p    14/24    -73.45%p  -19.05%
  (3,10,3) 70/15/15 + C1 b=5         +3.41%p   316/500    +2.11%p   -28.81%p    +0.11%p    15/24    -72.64%p  -18.91%
