
config                                             R lift     R wins   M24 lift    M24 wins     M24 min     M24 max      MDD
----------------------------------------------------------------------------------------------------------------------------------
A: 70/30 b=0 [v82]                               +21.66%p   500/500   +23.27%p    24/24     +0.01%p    +53.82%p  -19.98%
Fixed 80/20 + C2 b=3 [★best]                     +48.14%p   500/500   +52.76%p    24/24    +13.54%p   +105.97%p  -19.82%
Fixed 70/30 + C2 b=3                             +43.72%p   500/500   +47.57%p    24/24    +16.91%p    +92.59%p  -19.98%
Fixed 75/25 + C2 b=3                             +45.94%p   500/500   +50.17%p    24/24    +15.22%p    +99.27%p  -19.58%
Dynamic A (2단계 80/70) + C2 b=3                   +47.23%p   500/500   +51.53%p    24/24    +16.91%p    +96.26%p  -19.82%
Dynamic B (3단계 85/75/65) + C2 b=3                +48.64%p   500/500   +52.91%p    24/24    +16.84%p    +98.04%p  -20.07%
Dynamic C (4단계 85/80/70/60) + C2 b=3             +49.05%p   500/500   +53.64%p    24/24    +16.77%p    +98.04%p  -20.07%
Dynamic D (score_100[2위] 기반) + C2 b=3            +47.24%p   500/500   +51.61%p    24/24    +16.84%p    +96.26%p  -19.82%

==================================================================================================================================
현재 최근 5일 1위/2위 w_gap 격차 — 사용자 우려 검증
==================================================================================================================================
date         1위        w_gap_1  score_1 2위        w_gap_2  score_2    ratio           동적 비중
2026-05-11   BE      +110.1055   100.0 SNDK    +88.6638    80.5    1.24        [70, 30]
2026-05-12   BE      +100.3046   100.0 SNDK    +96.0961    95.8    1.04        [60, 40]
2026-05-13   SNDK    +99.5920   100.0 HGV     +90.9853    91.4    1.09        [60, 40]
2026-05-14   SNDK    +107.3671   100.0 HGV     +90.8412    84.6    1.18        [70, 30]
2026-05-15   SNDK    +100.6840   100.0 TER     +90.1283    89.5    1.12        [60, 40]
2026-05-18   SNDK    +100.5861   100.0 AEIS    +92.8245    92.3    1.08        [60, 40]
2026-05-19   AEIS    +95.4838   100.0 SNDK    +92.2786    96.6    1.03        [60, 40]
2026-05-20   AEIS    +95.0581   100.0 SNDK    +89.0571    93.7    1.07        [60, 40]
2026-05-21   AEIS    +91.5510   100.0 FIX     +82.1959    89.8    1.11        [60, 40]
2026-05-22   AEIS    +89.6690   100.0 FIX     +82.8132    92.4    1.08        [60, 40]
