
config                                     R lift     R wins   M12 lift    M12 min   M24 lift    M24 wins     M24 min      MDD
----------------------------------------------------------------------------------------------------------------------------------
A: 70/30 b=0 [v82 현재]                    +21.66%p   500/500   +25.46%p    +6.34%p   +23.27%p    24/24     +0.01%p  -19.98%
B: 80/20 + C1 b=5                        +40.30%p   497/500   +47.19%p    +1.25%p   +41.73%p    23/24    -37.50%p  -19.82%
70/30 + C2 b=3                           +43.72%p   500/500   +50.58%p   +19.54%p   +47.57%p    24/24    +16.91%p  -19.98%
70/30 + C2 b=5                           +41.88%p   500/500   +48.71%p    +5.58%p   +46.44%p    24/24     +5.58%p  -19.98%
80/20 + C2 b=3                           +48.14%p   500/500   +56.98%p   +16.50%p   +52.76%p    24/24    +13.54%p  -19.82%
80/20 + C2 b=5                           +46.08%p   499/500   +54.68%p    +5.18%p   +51.46%p    24/24     +5.18%p  -19.82%
70/30 + Slot0Lock + S1 C1 b=5            +13.54%p   490/500   +15.13%p    -1.47%p   +13.79%p    21/24    -16.59%p  -19.98%
80/20 + Slot0Lock + S1 C1 b=5            +19.13%p   497/500   +22.10%p    +2.46%p   +20.40%p    23/24    -11.92%p  -19.82%
80/20 + Slot0Lock + S1 C2 b=5            +26.02%p   500/500   +30.78%p    +2.50%p   +28.19%p    24/24     +0.17%p  -19.82%
70/30 + minseg≥1 b=3                      +7.60%p   409/500    +7.84%p   -19.32%p    +8.64%p    17/24    -19.32%p  -24.81%
70/30 + minseg≥1 b=5                      +8.11%p   429/500    +5.71%p   -16.81%p    +8.90%p    15/24    -16.81%p  -24.81%
80/20 + minseg≥1 b=5                      +7.19%p   403/500    +5.16%p   -20.32%p    +8.36%p    15/24    -20.32%p  -26.67%
80/20 + minseg≥2 b=5                     -24.42%p    35/500   -30.05%p   -63.29%p   -30.17%p     5/24    -77.61%p  -32.19%
70/30 + revup≥0.5 b=5                     -4.76%p   231/500   -12.49%p   -67.83%p    -8.49%p    12/24    -69.96%p  -22.62%
80/20 + revup≥0.5 b=5                     +3.15%p   317/500    -5.84%p   -78.51%p    +0.01%p    19/24    -80.24%p  -24.68%
80/20 + revup≥0.4 b=5                    +15.93%p   438/500   +21.63%p    +0.17%p   +18.76%p    23/24    -41.10%p  -19.82%
Dynamic Weight (격차 기반)                   +25.49%p   500/500   +30.46%p    +7.41%p   +27.60%p    24/24     +1.19%p  -20.07%
80/20 + C1orC2 ms≥1 b=5                  +33.78%p   500/500   +39.17%p    -1.86%p   +36.68%p    23/24     -1.86%p  -19.82%
80/20 + C1orC2 ms≥0 b=5                  +31.18%p   499/500   +36.16%p    +2.65%p   +34.67%p    24/24     +2.65%p  -19.82%
