start_date,ticker,entry_date,exit_date,entry_price,exit_price,return,reason
2026-02-17,TTMI,2026-02-18,2026-02-20,93.97,107.93,14.86,rank
2026-02-17,APH,2026-02-20,2026-02-27,151.04,146.06,-3.3,rank
2026-02-17,TSEM,2026-02-27,2026-03-03,124.87,125.53,0.53,rank
2026-02-17,STX,2026-03-03,2026-03-19,357.62,434.6,21.53,rank
2026-02-17,ADI,2026-03-19,2026-03-31,310.44,318.14,2.48,rank
2026-02-17,SNDK,2026-02-17,2026-04-10,590.59,851.77,44.22,rank
2026-02-18,TTMI,2026-02-18,2026-02-20,93.97,107.93,14.86,rank
2026-02-18,APH,2026-02-18,2026-02-27,147.73,146.06,-1.13,rank
2026-02-18,TSEM,2026-02-27,2026-03-03,124.87,125.53,0.53,rank
2026-02-18,LLY,2026-02-23,2026-03-06,1058.56,990.33,-6.45,rank
2026-02-18,LITE,2026-03-09,2026-03-11,640.69,672.0,4.89,rank
2026-02-18,TSEM,2026-03-11,2026-03-13,119.44,124.71,4.41,rank
2026-02-18,STX,2026-03-03,2026-03-19,357.62,434.6,21.53,rank
2026-02-18,ADI,2026-03-19,2026-03-31,310.44,318.14,2.48,rank
2026-02-18,SNDK,2026-02-18,2026-04-10,600.4,851.77,41.87,rank
2026-02-19,APH,2026-02-20,2026-02-27,151.04,146.06,-3.3,rank
2026-02-19,TSEM,2026-02-27,2026-03-03,124.87,125.53,0.53,rank
2026-02-19,LLY,2026-02-23,2026-03-06,1058.56,990.33,-6.45,rank
2026-02-19,LITE,2026-03-09,2026-03-11,640.69,672.0,4.89,rank
2026-02-19,TSEM,2026-03-11,2026-03-13,119.44,124.71,4.41,rank
2026-02-19,STX,2026-03-03,2026-03-19,357.62,434.6,21.53,rank
2026-02-19,ADI,2026-03-19,2026-03-31,310.44,318.14,2.48,rank
2026-02-19,SNDK,2026-02-19,2026-04-10,621.09,851.77,37.14,rank
2026-02-20,APH,2026-02-20,2026-02-27,151.04,146.06,-3.3,rank
2026-02-20,TSEM,2026-02-27,2026-03-03,124.87,125.53,0.53,rank
2026-02-20,LLY,2026-02-23,2026-03-06,1058.56,990.33,-6.45,rank
2026-02-20,LITE,2026-03-09,2026-03-11,640.69,672.0,4.89,rank
2026-02-20,TSEM,2026-03-11,2026-03-13,119.44,124.71,4.41,rank
2026-02-20,STX,2026-03-03,2026-03-19,357.62,434.6,21.53,rank
2026-02-20,ADI,2026-03-19,2026-03-31,310.44,318.14,2.48,rank
2026-02-20,SNDK,2026-02-20,2026-04-10,649.97,851.77,31.05,rank
2026-02-23,APH,2026-02-23,2026-02-27,147.82,146.06,-1.19,rank
2026-02-23,TSEM,2026-02-27,2026-03-03,124.87,125.53,0.53,rank
2026-02-23,LLY,2026-02-23,2026-03-06,1058.56,990.33,-6.45,rank
2026-02-23,LITE,2026-03-09,2026-03-11,640.69,672.0,4.89,rank
2026-02-23,TSEM,2026-03-11,2026-03-13,119.44,124.71,4.41,rank
2026-02-23,STX,2026-03-03,2026-03-19,357.62,434.6,21.53,rank
2026-02-23,ADI,2026-03-19,2026-03-31,310.44,318.14,2.48,rank
2026-02-23,SNDK,2026-02-23,2026-04-10,666.49,851.77,27.8,rank
2026-02-24,APH,2026-02-24,2026-02-27,151.5,146.06,-3.59,rank
2026-02-24,TSEM,2026-02-27,2026-03-03,124.87,125.53,0.53,rank
2026-02-24,STX,2026-03-03,2026-03-19,357.62,434.6,21.53,rank
